player_id,player_name
76001,"Abdelnaby, Alaa"
76002,"Abdul-Aziz, Zaid"
76003,"Abdul-Jabbar, Kareem"
51,"Abdul-Rauf, Mahmoud"
1505,"Abdul-Wahad, Tariq"
949,"Abdur-Rahim, Shareef"
76005,"Abernethy, Tom"
76006,"Able, Forest"
76007,"Abramovic, John"
101165,"Acker, Alex"
76008,"Ackerman, Donald"
76009,"Acres, Mark"
76010,"Acton, Charles"
203112,"Acy, Quincy"
76011,"Adams, Alvan"
76012,"Adams, Don"
200801,"Adams, Hassan"
203919,"Adams, Jordan"
149,"Adams, Michael"
203500,"Adams, Steven"
912,"Addison, Rafael"
76015,"Adelman, Rick"
202399,"Adrien, Jeff"
201167,"Afflalo, Arron"
200772,"Ager, Maurice"
76016,"Aguirre, Mark"
201336,"Ahearn, Blake"
76017,"Ainge, Danny"
201582,"Ajinca, Alexis"
76018,"Akin, Henry"
203006,"Akognon, Josh"
202374,"Alabi, Solomon"
76019,"Alarie, Mark"
76020,"Alcorn, Gary"
203128,"Aldemir, Furkan"
202332,"Aldrich, Cole"
200746,"Aldridge, LaMarcus"
76021,"Aleksinas, Chuck"
1626146,"Alexander, Cliff"
724,"Alexander, Cory"
2042,"Alexander, Courtney"
76022,"Alexander, Gary"
201570,"Alexander, Joe"
2349,"Alexander, Victor"
76024,"Alford, Steve"
76028,"Allen, Bob"
706,"Allen, Jerome"
202730,"Allen, Lavoy"
76027,"Allen, Lucius"
2124,"Allen, Malik"
76025,"Allen, Randy"
951,"Allen, Ray"
2754,"Allen, Tony"
76029,"Allison, Odis"
200984,"Allred, Lance"
76030,"Allums, Darrell"
201165,"Almond, Morris"
308,"Alston, Derrick"
1747,"Alston, Rafer"
1824,"Aluma, Peter"
680,"Amaechi, John"
732,"Amaya, Ashraf"
202329,"Aminu, Al-Farouq"
200811,"Amundson, Lou"
76034,"Anderegg, Bob"
2365,"Andersen, Chris"
2431,"Andersen, David"
101187,"Anderson, Alan"
202079,"Anderson, Antonio"
76035,"Anderson, Cliff"
76036,"Anderson, Daniel"
1507,"Anderson, Derek"
76037,"Anderson, Dwight"
944,"Anderson, Eric"
246,"Anderson, Greg"
202341,"Anderson, James"
76040,"Anderson, Jerome"
1626147,"Anderson, Justin"
72,"Anderson, Kenny"
76041,"Anderson, Kim"
203937,"Anderson, Kyle"
76042,"Anderson, Michael"
76043,"Anderson, Mitchell"
98,"Anderson, Nick"
76045,"Anderson, Richard"
76046,"Anderson, Ron"
201583,"Anderson, Ryan"
1000,"Anderson, Shandon"
335,"Anderson, Willie"
76048,"Anderzunas, Wally"
101149,"Andriuskevicius, Martynas"
76049,"Anielak, Don"
76050,"Ansley, Michael"
1512,"Anstey, Chris"
203507,"Antetokounmpo, Giannis"
2546,"Anthony, Carmelo"
21,"Anthony, Greg"
201202,"Anthony, Joel"
203544,"Antic, Pero"
2737,"Araujo, Rafael"
76053,"Arceneaux, Stacey"
76054,"Archibald, Nate"
2425,"Archibald, Robert"
76055,"Ard, Jim"
2240,"Arenas, Gilbert"
2772,"Ariza, Trevor"
76056,"Arizin, Paul"
76057,"Arlauckas, Joe"
769,"Armstrong, B.J."
76061,"Armstrong, Bob"
2220,"Armstrong, Brandon"
353,"Armstrong, Darrell"
200756,"Armstrong, Hilton"
76060,"Armstrong, Paul"
76059,"Armstrong, Tate"
76062,"Arnelle, Jesse"
76063,"Arnette, Jay"
76064,"Arnzen, Bob"
2306,"Arroyo, Carlos"
201589,"Arthur, Darrell"
76065,"Arthurs, John"
201600,"Asik, Omer"
355,"Askew, Vincent"
173,"Askins, Keith"
76068,"Asmonga, Don"
76069,"Atha, Richard"
1088,"Atkins, Chucky"
76070,"Attles, Alvin"
76071,"Aubuchon, Chet"
278,"Augmon, Stacey"
201571,"Augustin, D.J."
200788,"Augustine, James"
1134,"Austin, Ike"
76073,"Austin, John"
76074,"Austin, Ken"
138,"Avent, Anthony"
76076,"Averitt, William"
1895,"Avery, William"
76078,"Awtrey, Dennis"
202970,"Ayon, Gustavo"
201965,"Ayres, Jeff"
101235,"Azubuike, Kelenna"
203569,"Babb, Chris"
202337,"Babbitt, Luke"
76079,"Babic, Milos"
76080,"Bach, Johnny"
76081,"Baechtold, Jim"
2053,"Bagaric, Dalibor"
76082,"Bagley, John"
76084,"Bailey, Carl"
76083,"Bailey, Gus"
76085,"Bailey, James"
1847,"Bailey, Thurl"
1753,"Bailey, Toby"
203946,"Bairstow, Cameron"
1858,"Baker, Mark"
2486,"Baker, Maurice"
76089,"Baker, Norm"
452,"Baker, Vin"
200764,"Balkman, Renaldo"
76090,"Ball, Cedric"
76091,"Ballard, Greg"
76092,"Baltimore, Herschel"
76093,"Banks, Gene"
2556,"Banks, Marcus"
76094,"Bannister, Ken"
76095,"Bantom, Mike"
76096,"Barber, John"
2571,"Barbosa, Leandro"
76097,"Bardo, Stephen"
200826,"Barea, Jose Juan"
200745,"Bargnani, Andrea"
76098,"Barker, Cliff"
76099,"Barker, Tom"
787,"Barkley, Charles"
2057,"Barkley, Erick"
76102,"Barksdale, Don"
203084,"Barnes, Harrison"
76103,"Barnes, Harry"
76105,"Barnes, Jim"
76104,"Barnes, Marvin"
2440,"Barnes, Matt"
76107,"Barnett, Dick"
76106,"Barnett, Jim"
76108,"Barnhill, John"
76109,"Barnhill, Norton"
76110,"Barnhorst, Leo"
76111,"Barr, John"
76112,"Barr, Mike"
76113,"Barr, Thomas"
2857,"Barrett, Andre"
76114,"Barrett, Ernie"
2853,"Barron, Earl"
344,"Barros, Dana"
699,"Barry, Brent"
1003,"Barry, Drew"
468,"Barry, Jon"
600013,"Barry, Rick"
76117,"Bartels, Ed"
76118,"Bartolome, Vic"
203115,"Barton, Will"
101188,"Basden, Eddie"
76119,"Baskerville, Jerry"
101138,"Bass, Brandon"
76120,"Bassett, Tim"
1766,"Baston, Maceo"
2370,"Bateer, Mengke"
76121,"Bates, Billyray"
101212,"Batista, Esteban"
2471,"Batiste, Mike"
1499,"Battie, Tony"
2203,"Battier, Shane"
174,"Battle, John"
76123,"Battle, Kenny"
76124,"Batton, Dave"
201587,"Batum, Nicolas"
76125,"Baum, Johnny"
76126,"Baumholtz, Frankie"
2437,"Baxter, Lonny"
201573,"Bayless, Jerryd"
76127,"Baylor, Elgin"
203382,"Baynes, Aron"
76128,"Bazarevich, Sergei"
203145,"Bazemore, Kent"
76129,"Beach, Ed"
203078,"Beal, Bradley"
76130,"Beard, Butch"
76131,"Beard, Ralph"
2602,"Beasley, Jerome"
201563,"Beasley, Michael"
76133,"Beaty, Zelmo"
201958,"Beaubois, Rodrigue"
76134,"Beck, Byron"
1133,"Beck, Corey"
76136,"Beck, Ernie"
76137,"Becker, Moe"
76138,"Bedford, William"
76139,"Beenders, Hank"
76140,"Behagen, Ron"
76141,"Behnke, Elmer"
201158,"Belinelli, Marco"
2294,"Bell, Charlie"
76142,"Bell, Dennis"
1952,"Bell, Raja"
2559,"Bell, Troy"
76143,"Bell, William"
76144,"Bellamy, Walt"
76145,"Bemoras, Irv"
76146,"Benbow, Leon"
1886,"Bender, Jonathan"
203968,"Benimon, Jerrelle"
104,"Benjamin, Benoit"
1736,"Benjamin, Corey"
203461,"Bennett, Anthony"
1120,"Bennett, Elmer"
712,"Bennett, Mario"
76151,"Bennett, Mel"
76148,"Bennett, Tony"
76152,"Bennett, Winston"
128,"Benoit, David"
202728,"Benson, Keith"
76154,"Benson, Kent"
76155,"Berce, Gene"
76156,"Bergen, Gary"
76157,"Berry, Ricky"
76158,"Berry, Walter"
76159,"Beshore, Del"
696,"Best, Travis"
